date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:44:48	4359/4359	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2016:09:52%20GMT	https://digitalcub.today/services.html	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/services.html	(from )
02:44:48	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2021:42:30%20GMT	https://digitalcub.today/robots.txt		(from )
02:44:49	6850/6850	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202025%2007:35:08%20GMT	https://digitalcub.today/css/stylesheet.css	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/css/stylesheet.css	(from https://digitalcub.today/services.html)
02:44:50	433/433	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2007:27:31%20GMT	https://digitalcub.today/img/favicon-57.png	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/img/favicon-57.png	(from https://digitalcub.today/services.html)
02:44:50	1393/1393	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Feb%202025%2021:14:51%20GMT	https://plausible.io/js/script.js	C:/My%20Web%20Sites/paypal%20sign%20page/plausible.io/js/script.js	(from https://digitalcub.today/services.html)
02:44:51	28813/28813	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Feb%202025%2007:34:46%20GMT	https://digitalcub.today/img/paypal.png	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/img/paypal.png	(from https://digitalcub.today/services.html)
02:44:53	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Tue,%2015%20Mar%202022%2021:42:30%20GMT	https://digitalcub.today/index.php	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/index.5.delayed	(from https://digitalcub.today/services.html)
02:44:55	14557/14557	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Nov%202023%2014:25:44%20GMT	https://digitalcub.today/img/english1.jpg	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/img/english1.jpg	(from https://digitalcub.today/services.html)
02:44:55	565/565	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202024%2014:01:01%20GMT	https://digitalcub.today/img/phone.png	C:/My%20Web%20Sites/paypal%20sign%20page/digitalcub.today/img/phone.png	(from https://digitalcub.today/services.html)
02:44:55	78743/78743	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/paypal%20sign%20page/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	(from https://digitalcub.today/services.html)
